"","x","variable","value","panel"
"359",511,NA,20430.9210526316,"Time of Sample Trajectory"
"360",506,NA,20455.5921052632,"Time of Sample Trajectory"
"361",510,NA,20480.2631578947,"Time of Sample Trajectory"
"362",512,NA,20504.9342105263,"Time of Sample Trajectory"
"363",529,NA,20529.6052631579,"Time of Sample Trajectory"
"364",543,NA,20554.2763157895,"Time of Sample Trajectory"
"365",535,NA,20578.9473684211,"Time of Sample Trajectory"
"366",534,NA,20603.6184210526,"Time of Sample Trajectory"
"367",531,NA,20628.2894736842,"Time of Sample Trajectory"
"368",531,NA,20652.9605263158,"Time of Sample Trajectory"
"369",529,NA,20677.6315789474,"Time of Sample Trajectory"
"370",523,NA,20702.3026315789,"Time of Sample Trajectory"
"371",523,NA,20726.9736842105,"Time of Sample Trajectory"
"372",520,NA,20751.6447368421,"Time of Sample Trajectory"
"373",527,NA,20776.3157894737,"Time of Sample Trajectory"
"374",532,NA,20800.9868421053,"Time of Sample Trajectory"
"375",531,NA,20825.6578947368,"Time of Sample Trajectory"
"376",533,NA,20850.3289473684,"Time of Sample Trajectory"
"377",524,NA,20875,"Time of Sample Trajectory"
"378",532,NA,20899.6710526316,"Time of Sample Trajectory"
"379",550,NA,20924.3421052632,"Time of Sample Trajectory"
"380",544,NA,20949.0131578947,"Time of Sample Trajectory"
"381",539,NA,20973.6842105263,"Time of Sample Trajectory"
"382",547,NA,20998.3552631579,"Time of Sample Trajectory"
"383",547,NA,21023.0263157895,"Time of Sample Trajectory"
"384",539,NA,21047.6973684211,"Time of Sample Trajectory"
"385",529,NA,21072.3684210526,"Time of Sample Trajectory"
"386",517,NA,21097.0394736842,"Time of Sample Trajectory"
"387",498,NA,21121.7105263158,"Time of Sample Trajectory"
"388",510,NA,21146.3815789474,"Time of Sample Trajectory"
"389",498,NA,21171.0526315789,"Time of Sample Trajectory"
"390",514,NA,21195.7236842105,"Time of Sample Trajectory"
"391",497,NA,21220.3947368421,"Time of Sample Trajectory"
"392",483,NA,21245.0657894737,"Time of Sample Trajectory"
"393",473,NA,21269.7368421053,"Time of Sample Trajectory"
"394",470,NA,21294.4078947368,"Time of Sample Trajectory"
"395",463,NA,21319.0789473684,"Time of Sample Trajectory"
"396",462,NA,21343.75,"Time of Sample Trajectory"
"397",459,NA,21368.4210526316,"Time of Sample Trajectory"
"398",452,NA,21393.0921052632,"Time of Sample Trajectory"
"399",447,NA,21417.7631578947,"Time of Sample Trajectory"
"400",445,NA,21442.4342105263,"Time of Sample Trajectory"
"401",453,NA,21467.1052631579,"Time of Sample Trajectory"
"402",445,NA,21491.7763157895,"Time of Sample Trajectory"
"403",450,NA,21516.4473684211,"Time of Sample Trajectory"
"404",450,NA,21541.1184210526,"Time of Sample Trajectory"
"405",450,NA,21565.7894736842,"Time of Sample Trajectory"
"406",467,NA,21590.4605263158,"Time of Sample Trajectory"
"407",466,NA,21615.1315789474,"Time of Sample Trajectory"
"408",454,NA,21639.8026315789,"Time of Sample Trajectory"
"409",458,NA,21664.4736842105,"Time of Sample Trajectory"
"410",462,NA,21689.1447368421,"Time of Sample Trajectory"
"411",467,NA,21713.8157894737,"Time of Sample Trajectory"
"412",466,NA,21738.4868421053,"Time of Sample Trajectory"
"413",449,NA,21763.1578947368,"Time of Sample Trajectory"
"414",444,NA,21787.8289473684,"Time of Sample Trajectory"
"415",459,NA,21812.5,"Time of Sample Trajectory"
"416",455,NA,21837.1710526316,"Time of Sample Trajectory"
"417",454,NA,21861.8421052632,"Time of Sample Trajectory"
"418",447,NA,21886.5131578947,"Time of Sample Trajectory"
"419",442,NA,21911.1842105263,"Time of Sample Trajectory"
"420",423,NA,21935.8552631579,"Time of Sample Trajectory"
"421",442,NA,21960.5263157895,"Time of Sample Trajectory"
"422",453,NA,21985.1973684211,"Time of Sample Trajectory"
"423",450,NA,22009.8684210526,"Time of Sample Trajectory"
"424",451,NA,22034.5394736842,"Time of Sample Trajectory"
"425",442,NA,22059.2105263158,"Time of Sample Trajectory"
"426",434,NA,22083.8815789474,"Time of Sample Trajectory"
"427",449,NA,22108.5526315789,"Time of Sample Trajectory"
"428",444,NA,22133.2236842105,"Time of Sample Trajectory"
"429",452,NA,22157.8947368421,"Time of Sample Trajectory"
"430",458,NA,22182.5657894737,"Time of Sample Trajectory"
"431",465,NA,22207.2368421053,"Time of Sample Trajectory"
"432",468,NA,22231.9078947368,"Time of Sample Trajectory"
"433",472,NA,22256.5789473684,"Time of Sample Trajectory"
"434",481,NA,22281.25,"Time of Sample Trajectory"
"435",463,NA,22305.9210526316,"Time of Sample Trajectory"
"436",462,NA,22330.5921052632,"Time of Sample Trajectory"
